


 1191,-1793,-660


 253,4199,4870


 -834,1915,223


 -671,-5266,-3046


 287,1995,842


 -805,829,148


 1419,-1450,-532


 621,771,-684


 -1008,235,367


 1809,122,-789


 -826,203,178


 79,2558,3945


 744,-3059,-192


 2424,3217,2549


 283,1989,1410


 -2231,-3223,-663


 1592,2008,2189


 755,2337,1394


 -1362,-182,-382


 -2284,-1583,689


 -1596,-2535,-4251


 263,1645,-673


 -757,1987,442


 -156,-1863,-1290


 433,399,13


 -593,469,1442


 -1401,-2358,-2126


 1628,-1208,-802


 976,1518,365


 -584,629,216


 824,-1123,-1498


 -152,640,-430


 -965,388,524


 1602,-451,-841


 -124,-625,-469


 -1886,-37,908


 1333,1158,-830


 111,-730,-361


 -1850,216,79


 1107,127,-810


 546,897,519


 -946,-602,243


 -780,3582,3350


 -460,-2126,941


 1469,2927,2607


 -1341,-1291,-2551


 -246,-2377,-4060


 -120,372,79


 -166,1834,3473


 588,2061,4310


 61,-602,-1042


 85,-2570,-1021


 1306,-1195,-2230


 24,-120,366


 -704,2548,-107


 -55,-1443,1157


 350,2236,1540


 -1008,-466,-476


 103,363,364


 -879,-891,-289


 47,113,335


 -695,118,-360


 -219,-57,-14


 -632,-1329,-165


 335,2116,275


 304,738,-316


 -5,-545,-93


 -1229,981,349


 766,-54,265


 -202,-775,-189


 -428,550,417


 -116,98,-562


 -324,-1017,-1069


 -567,-201,286


 804,1028,182


 -55,-448,-71


 -1254,-1800,109


 403,594,-709


 -285,-1078,-798


 -897,-1083,-253


 1007,800,486


 -542,469,-582


 -1013,534,1238


 1500,2297,1665


 -363,140,-102


 -1367,-2324,704


 1443,924,336


 -84,779,-148


 -375,585,836


 -913,-2349,-535


 -604,75,-1123


 -696,-2077,-2107


 -673,-961,-459


 508,1670,-300


 479,-1573,-1050


 -476,135,-926


 -672,719,-1564


 -849,339,885


 226,1200,1005


 566,95,496


 -407,-735,319


 -364,165,804


 1279,-36,1017


 1147,2060,2199


 -1529,-1116,-1371


 296,180,-1140


 1995,-1666,486


 -1258,-445,-2779


 -312,873,-394


 -404,1891,846


 -49,1132,-522


 1183,-2170,-579


 543,126,362


 -855,372,933


 517,356,953


 3011,3328,2383


 -1680,-3474,-338


 337,3090,45


 -1278,-2827,-906


 924,2955,39


 961,1575,222


 -524,-1807,408


 -1252,-2555,251


 -743,-2452,-309


 -379,-428,10


 890,1193,-258


 -277,1609,-340


 128,1742,-347


 -348,-2760,-417


 -48,1648,-126


 -538,2240,283


 190,619,450


 492,-85,1167


 -586,-275,1619


 -179,771,813


 730,1600,30


 303,2425,-513


 -869,1979,457


 -77,2967,764


 1485,3453,-236


 -749,651,-1047


 483,1348,-456


 485,-325,-205


